frame,time_ns,E_complex_kcal,E_receptor_kcal,E_ligand_kcal,dG_kcal
49,0.5,-6780.71,-6773.32,43.07,-50.47
54,0.55,-6814.28,-6813.04,38.49,-39.74
59,0.6,-6784.68,-6791.57,49.35,-42.46
64,0.65,-6779.04,-6769.25,39.74,-49.54
69,0.7,-6799.23,-6786.53,35.29,-47.99
74,0.75,-6818.05,-6810.99,36.32,-43.38
79,0.8,-6769.45,-6767.43,35.6,-37.62
84,0.85,-6804.73,-6793.26,32.89,-44.36
89,0.9,-6811.01,-6801.32,33.01,-42.71
94,0.95,-6769.85,-6769.8,40.97,-41.02
99,1.0,-6840.74,-6837.36,40.31,-43.7
104,1.05,-6817.05,-6812.23,43.83,-48.64
109,1.1,-6813.36,-6809.1,39.61,-43.86
114,1.15,-6772.16,-6768.38,41.65,-45.43
119,1.2,-6759.41,-6747.52,34.87,-46.75
124,1.25,-6765.06,-6757.82,41.46,-48.71
129,1.3,-6804.5,-6790.14,34.43,-48.79
134,1.35,-6789.19,-6794.99,49.32,-43.52
139,1.4,-6820.88,-6811.84,41.39,-50.44
144,1.45,-6789.15,-6783.39,37.82,-43.58
149,1.5,-6762.66,-6743.7,25.6,-44.56
154,1.55,-6778.62,-6772.12,39.54,-46.04
159,1.6,-6751.17,-6744.66,37.31,-43.83
164,1.65,-6812.48,-6807.55,40.14,-45.07
169,1.7,-6706.65,-6744.93,38.28,0.01
174,1.75,-6839.47,-6839.93,42.97,-42.51
179,1.8,-6819.23,-6815.36,40.22,-44.08
184,1.85,-6775.04,-6769.99,39.01,-44.06
189,1.9,-6743.19,-6740.31,41.64,-44.53
194,1.95,-6778.41,-6768.69,36.12,-45.84
199,2.0,-6818.84,-6818.55,47.32,-47.61
