frame,time_ps,rmsd_angstrom
0,0.2,0.0
1,0.4,0.7836
2,0.6,1.2827
3,0.8,1.4608
4,1.0,1.6269
5,1.2,1.5523
6,1.4,1.47
7,1.6,1.4436
8,1.8,1.3986
9,2.0,1.2778
