frame,time_ns,E_complex_kcal,E_receptor_kcal,E_ligand_kcal,dG_kcal
49,0.5,-6811.6,-6712.72,-53.55,-45.33
54,0.55,-6794.51,-6701.0,-48.01,-45.49
59,0.6,-6854.82,-6759.7,-45.89,-49.24
64,0.65,-6846.83,-6747.06,-50.15,-49.61
69,0.7,-6898.96,-6804.15,-52.79,-42.02
74,0.75,-6958.39,-6861.32,-46.12,-50.95
79,0.8,-6880.39,-6786.76,-51.71,-41.92
84,0.85,-6859.12,-6763.71,-48.65,-46.76
89,0.9,-6762.29,-6661.4,-48.71,-52.18
94,0.95,-6861.05,-6780.91,-37.73,-42.41
99,1.0,-6863.25,-6775.49,-42.66,-45.1
104,1.05,-6821.59,-6715.06,-53.72,-52.82
109,1.1,-6841.04,-6745.79,-45.72,-49.53
114,1.15,-6843.27,-6742.55,-53.34,-47.38
119,1.2,-6842.79,-6746.64,-49.01,-47.14
124,1.25,-6933.94,-6837.92,-45.37,-50.64
129,1.3,-6859.65,-6761.25,-52.18,-46.21
134,1.35,-6880.11,-6781.61,-50.81,-47.69
139,1.4,-6874.12,-6779.35,-48.73,-46.03
144,1.45,-6833.64,-6754.06,-42.3,-37.28
149,1.5,-6788.72,-6696.28,-42.62,-49.81
154,1.55,-6796.97,-6698.58,-50.32,-48.07
159,1.6,-6831.7,-6735.96,-46.67,-49.07
164,1.65,-6868.22,-6775.28,-46.23,-46.71
169,1.7,-6866.22,-6768.84,-49.04,-48.34
174,1.75,-6855.07,-6756.7,-49.68,-48.7
179,1.8,-6844.5,-6752.49,-46.36,-45.65
184,1.85,-6909.95,-6817.76,-41.66,-50.54
189,1.9,-6830.77,-6732.79,-48.15,-49.84
194,1.95,-6898.7,-6806.0,-45.29,-47.41
199,2.0,-6896.6,-6799.89,-47.88,-48.83
