x,y_obs,y_calc,y_bkg,struct_CaNi(PO3)4_15_sym,struct_NiO_225_sym
11.1205,3290.0,3224.12,3221.77,2.33,0.02
11.1313,3230.0,3222.74,3220.38,2.34,0.02
11.1422,3341.0,3221.38,3219.01,2.36,0.02
11.1531,3301.0,3220.05,3217.66,2.37,0.02
11.1639,3262.0,3218.74,3216.33,2.39,0.02
11.1748,3377.0,3217.45,3215.03,2.4,0.02
11.1857,3309.0,3216.18,3213.74,2.42,0.02
11.1965,3242.0,3214.93,3212.48,2.43,0.02
11.2074,3191.0,3213.7,3211.23,2.45,0.02
11.2183,3279.0,3212.49,3210.01,2.46,0.02
11.2291,3194.0,3211.29,3208.8,2.48,0.02
11.24,3344.0,3210.12,3207.6,2.49,0.02
11.2509,3224.0,3208.96,3206.43,2.51,0.02
11.2617,3185.0,3207.82,3205.28,2.53,0.02
11.2726,3231.0,3206.7,3204.14,2.54,0.02
11.2835,3305.0,3205.59,3203.01,2.55,0.02
11.2943,3278.0,3204.5,3201.91,2.57,0.02
11.3052,3229.0,3203.42,3200.81,2.59,0.02
11.3161,3247.0,3202.36,3199.74,2.6,0.02
11.3269,3277.0,3201.32,3198.67,2.62,0.02
11.3378,3222.0,3200.28,3197.62,2.64,0.02
11.3487,3242.0,3199.27,3196.59,2.66,0.02
11.3595,3310.0,3198.26,3195.57,2.68,0.02
11.3704,3247.0,3197.27,3194.56,2.69,0.02
11.3813,3171.0,3196.29,3193.56,2.71,0.02
11.3921,3197.0,3195.33,3192.57,2.73,0.02
11.403,3183.0,3194.37,3191.6,2.75,0.02
11.4139,3226.0,3193.43,3190.64,2.77,0.02
11.4247,3240.0,3192.49,3189.68,2.79,0.02
11.4356,3248.0,3191.57,3188.74,2.81,0.02
11.4465,3230.0,3190.66,3187.81,2.83,0.02
11.4573,3217.0,3189.76,3186.89,2.85,0.02
11.4682,3240.0,3188.87,3185.98,2.87,0.02
11.4791,3223.0,3187.99,3185.08,2.89,0.02
11.4899,3188.0,3187.11,3184.18,2.91,0.02
11.5008,3248.0,3186.25,3183.29,2.93,0.02
11.5117,3272.0,3185.39,3182.42,2.95,0.02
11.5225,3191.0,3184.54,3181.55,2.98,0.02
11.5334,3198.0,3183.71,3180.69,3.0,0.02
11.5443,3222.0,3182.87,3179.83,3.02,0.02
11.5551,3265.0,3182.05,3178.99,3.04,0.02
11.566,3125.0,3181.23,3178.14,3.07,0.02
11.5769,3196.0,3180.42,3177.31,3.09,0.02
11.5877,3251.0,3179.61,3176.48,3.11,0.02
11.5986,3143.0,3178.82,3175.66,3.14,0.02
11.6095,3190.0,3178.02,3174.84,3.16,0.02
11.6203,3204.0,3177.24,3174.03,3.18,0.02
11.6312,3207.0,3176.46,3173.23,3.21,0.02
11.6421,3301.0,3175.68,3172.43,3.23,0.02
11.6529,3153.0,3174.91,3171.63,3.26,0.02
11.6638,3292.0,3174.14,3170.84,3.29,0.02
11.6747,3199.0,3173.38,3170.05,3.3,0.02
11.6855,3106.0,3172.61,3169.27,3.33,0.02
11.6964,3233.0,3171.86,3168.49,3.35,0.02
11.7073,3155.0,3171.11,3167.71,3.38,0.02
11.7181,3065.0,3170.37,3166.94,3.41,0.02
11.729,3111.0,3169.62,3166.17,3.44,0.02
11.7399,3223.0,3168.89,3165.4,3.46,0.02
11.7507,3151.0,3168.15,3164.64,3.49,0.02
11.7616,3181.0,3167.42,3163.88,3.52,0.02
11.7725,3129.0,3166.69,3163.12,3.55,0.02
11.7833,3038.0,3165.96,3162.36,3.58,0.02
11.7942,3117.0,3165.24,3161.61,3.61,0.02
