frame,time_ns,E_complex_kcal,E_receptor_kcal,E_ligand_kcal,dG_kcal
49,0.5,-6781.18,-6693.18,-45.31,-42.7
54,0.55,-6788.21,-6693.14,-52.41,-42.66
59,0.6,-6863.23,-6770.83,-48.26,-44.14
64,0.65,-6813.03,-6726.17,-42.2,-44.67
69,0.7,-6868.9,-6772.85,-51.7,-44.35
74,0.75,-6788.18,-6696.36,-50.26,-41.57
79,0.8,-6779.1,-6680.74,-46.95,-51.4
84,0.85,-6861.61,-6766.85,-47.43,-47.33
89,0.9,-6831.14,-6746.27,-42.12,-42.75
94,0.95,-6923.56,-6827.08,-51.75,-44.72
99,1.0,-6765.22,-6683.71,-43.26,-38.24
104,1.05,-6813.96,-6720.86,-46.14,-46.96
109,1.1,-6795.83,-6703.84,-50.7,-41.28
114,1.15,-6790.83,-6700.94,-46.77,-43.12
119,1.2,-6781.49,-6687.54,-45.7,-48.26
124,1.25,-6849.53,-6754.04,-49.45,-46.03
129,1.3,-6948.33,-6845.03,-50.33,-52.98
134,1.35,-6825.24,-6735.51,-43.0,-46.73
139,1.4,-6849.44,-6760.81,-46.09,-42.54
144,1.45,-6772.71,-6682.77,-44.42,-45.52
149,1.5,-6866.73,-6782.36,-41.9,-42.47
154,1.55,-6859.43,-6775.05,-44.55,-39.83
159,1.6,-6906.59,-6812.69,-50.95,-42.95
164,1.65,-6862.05,-6776.35,-44.06,-41.64
169,1.7,-6897.02,-6813.82,-42.28,-40.92
174,1.75,-6896.68,-6800.46,-47.88,-48.34
179,1.8,-6871.78,-6776.69,-48.03,-47.06
184,1.85,-6833.73,-6747.52,-43.34,-42.87
189,1.9,-6886.89,-6802.55,-40.76,-43.59
194,1.95,-6823.97,-6729.81,-50.09,-44.07
199,2.0,-6806.25,-6710.38,-50.46,-45.41
