frame,time_ns,E_complex_kcal,E_receptor_kcal,E_ligand_kcal,dG_kcal
49,0.5,-6746.04,-6742.72,38.56,-41.88
54,0.55,-6777.81,-6769.95,36.83,-44.69
59,0.6,-6780.97,-6773.16,37.51,-45.32
64,0.65,-6813.72,-6804.57,36.98,-46.13
69,0.7,-6780.65,-6771.07,34.23,-43.82
74,0.75,-6754.26,-6755.81,39.92,-38.37
79,0.8,-6709.63,-6701.63,33.11,-41.11
84,0.85,-6632.49,-6628.79,41.7,-45.39
89,0.9,-6683.38,-6676.36,34.22,-41.24
94,0.95,-6800.17,-6797.14,42.49,-45.52
99,1.0,-6715.97,-6711.61,40.95,-45.31
104,1.05,-6751.13,-6745.86,40.43,-45.71
109,1.1,-6800.73,-6802.32,47.99,-46.4
114,1.15,-6818.01,-6818.09,41.86,-41.78
119,1.2,-6746.39,-6743.53,41.72,-44.59
124,1.25,-6767.88,-6766.56,41.66,-42.98
129,1.3,-6698.02,-6696.0,41.78,-43.81
134,1.35,-6803.85,-6796.94,38.88,-45.79
139,1.4,-6702.55,-6694.16,38.59,-46.98
144,1.45,-6772.89,-6769.68,42.77,-45.98
149,1.5,-6831.22,-6810.98,29.29,-49.53
154,1.55,-6780.04,-6772.35,34.49,-42.17
159,1.6,-6711.17,-6705.24,36.73,-42.66
164,1.65,-6700.7,-6700.39,36.7,-37.02
169,1.7,-6807.11,-6797.73,36.65,-46.04
174,1.75,-6762.18,-6753.1,33.68,-42.76
179,1.8,-6783.72,-6785.9,45.48,-43.31
184,1.85,-6713.72,-6704.68,35.71,-44.75
189,1.9,-6763.02,-6761.93,45.31,-46.39
194,1.95,-6799.58,-6792.36,32.46,-39.67
199,2.0,-6694.67,-6706.57,47.83,-35.93
