frame,time_ns,E_complex_kcal,E_receptor_kcal,E_ligand_kcal,dG_kcal
49,0.5,-7053.97,-6772.3,-248.56,-33.11
54,0.55,-7039.26,-6747.49,-251.69,-40.07
59,0.6,-7058.76,-6782.45,-241.33,-34.97
64,0.65,-6995.33,-6717.98,-244.33,-33.03
69,0.7,-7030.1,-6744.8,-249.22,-36.09
74,0.75,-7016.53,-6734.3,-247.45,-34.79
79,0.8,-7044.7,-6757.87,-245.87,-40.95
84,0.85,-7033.55,-6750.16,-244.52,-38.87
89,0.9,-7048.63,-6762.89,-251.7,-34.03
94,0.95,-7080.88,-6793.65,-254.73,-32.49
99,1.0,-7002.97,-6716.77,-245.66,-40.55
104,1.05,-6965.27,-6681.32,-245.27,-38.68
109,1.1,-7079.17,-6786.69,-251.15,-41.32
114,1.15,-7062.2,-6778.56,-244.5,-39.13
119,1.2,-6996.77,-6719.29,-241.19,-36.29
124,1.25,-7025.85,-6732.96,-251.76,-41.13
129,1.3,-7079.86,-6795.28,-248.66,-35.92
134,1.35,-7062.22,-6777.01,-247.04,-38.16
139,1.4,-7018.46,-6738.9,-243.37,-36.19
144,1.45,-7065.04,-6781.84,-242.45,-40.75
149,1.5,-7055.98,-6775.34,-249.27,-31.37
154,1.55,-7079.0,-6797.87,-247.84,-33.3
159,1.6,-6965.53,-6678.63,-249.72,-37.18
164,1.65,-7086.85,-6799.3,-250.65,-36.9
169,1.7,-7110.74,-6822.03,-250.33,-38.38
174,1.75,-7017.39,-6724.16,-252.11,-41.12
179,1.8,-7031.63,-6744.0,-248.86,-38.76
184,1.85,-7061.41,-6784.01,-240.05,-37.34
189,1.9,-7027.92,-6740.08,-250.42,-37.42
194,1.95,-7054.85,-6777.51,-246.79,-30.55
199,2.0,-6991.34,-6698.99,-256.15,-36.2
