frame,time_ns,E_complex_kcal,E_receptor_kcal,E_ligand_kcal,dG_kcal
49,0.5,-7055.11,-6774.39,-246.87,-33.85
54,0.55,-6986.5,-6698.65,-251.69,-36.16
59,0.6,-7042.95,-6756.08,-249.2,-37.67
64,0.65,-6984.15,-6699.31,-250.93,-33.91
69,0.7,-7026.37,-6737.15,-250.35,-38.87
74,0.75,-6995.06,-6703.99,-250.53,-40.55
79,0.8,-7019.04,-6727.17,-252.1,-39.78
84,0.85,-6988.27,-6702.71,-246.16,-39.4
89,0.9,-6965.5,-6721.83,-243.69,0.01
94,0.95,-6965.03,-6715.25,-249.79,0.01
99,1.0,-6915.29,-6666.47,-248.83,0.01
104,1.05,-6946.0,-6702.19,-243.82,0.01
109,1.1,-6940.09,-6689.86,-250.23,0.01
114,1.15,-7037.68,-6781.73,-255.97,0.01
119,1.2,-6938.31,-6704.12,-234.2,0.01
124,1.25,-6993.35,-6736.66,-256.7,0.01
129,1.3,-7021.8,-6781.29,-240.52,0.01
134,1.35,-7083.84,-6837.97,-245.88,0.01
139,1.4,-6972.13,-6728.8,-243.34,0.01
144,1.45,-7019.6,-6768.66,-250.95,0.01
149,1.5,-7055.7,-6806.93,-248.79,0.01
154,1.55,-6988.0,-6744.26,-243.76,0.01
159,1.6,-7047.72,-6797.59,-250.14,0.01
164,1.65,-6997.13,-6750.62,-246.52,0.01
169,1.7,-7012.86,-6769.59,-243.28,0.01
174,1.75,-7000.5,-6758.82,-241.69,0.01
179,1.8,-7009.03,-6754.63,-254.41,0.01
184,1.85,-7015.25,-6768.86,-246.4,0.01
189,1.9,-6957.44,-6711.46,-246.0,0.01
194,1.95,-7004.94,-6753.73,-251.23,0.01
199,2.0,-7004.0,-6763.4,-240.62,0.01
