x,y
401.849406,90.909091
403.698811,88.235294
405.548217,89.304813
407.397622,89.839572
409.247028,90.909091
411.096433,88.235294
412.945839,88.770053
414.795244,89.304813
416.644650,89.839572
418.494055,89.839572
420.343461,90.374332
422.192867,90.909091
424.042272,85.561497
425.891678,80.213904
427.741083,80.213904
429.590489,77.540107
431.439894,74.866310
433.289300,69.518717
435.138705,66.844920
436.988111,66.844920
438.837517,64.171123
440.686922,64.171123
442.536328,64.171123
444.385733,64.171123
446.235139,64.171123
448.084544,64.171123
449.933950,64.171123
451.783355,66.844920
453.632761,66.844920
455.482166,66.844920
457.331572,66.844920
459.180978,72.192513
461.030383,69.518717
462.879789,72.192513
464.729194,72.192513
466.578600,72.192513
468.428005,77.540107
470.277411,80.213904
472.126816,82.887701
473.976222,88.235294
475.825627,90.909091
477.675033,93.582888
479.524439,97.326203
481.373844,101.604278
483.223250,104.278075
485.072655,106.951872
486.922061,106.951872
488.771466,104.278075
490.620872,102.673797
492.470277,101.604278
494.319683,106.951872
496.169089,112.299465
498.018494,117.647059
499.867900,131.016043
501.717305,147.058824
503.566711,163.101604
505.416116,235.294118
507.265522,280.748663
509.114927,371.657754
510.964333,374.331551
512.813738,355.614973
514.663144,248.663102
516.512550,149.732620
518.361955,139.037433
520.211361,109.625668
522.060766,104.278075
523.910172,101.604278
525.759577,101.604278
527.608983,104.278075
529.458388,112.299465
531.307794,133.689840
533.157199,147.058824
535.006605,184.491979
536.856011,208.556150
538.705416,352.941176
540.554822,387.700535
542.404227,462.566845
544.253633,510.695187
546.103038,467.914439
547.952444,393.048128
549.801849,344.919786
551.651255,307.486631
553.500661,254.010695
555.350066,211.229947
557.199472,171.122995
559.048877,133.689840
560.898283,114.973262
562.747688,101.604278
564.597094,88.235294
566.446499,82.887701
568.295905,77.540107
570.145310,72.192513
571.994716,72.192513
573.844122,74.866310
575.693527,75.935829
577.542933,77.005348
579.392338,78.074866
581.241744,79.679144
583.091149,80.748663
584.940555,81.818182
586.789960,82.887701
588.639366,90.909091
590.488771,117.647059
592.338177,139.037433
594.187583,171.122995
596.036988,165.775401
597.886394,165.775401
599.735799,128.342246
601.585205,106.951872
603.434610,77.540107
605.284016,72.192513
607.133421,72.192513
608.982827,72.192513
610.832232,66.844920
612.681638,66.844920
614.531044,66.844920
616.380449,66.844920
618.229855,69.518717
620.079260,70.588235
621.928666,71.122995
623.778071,72.192513
625.627477,72.192513
627.476882,77.540107
629.326288,82.887701
631.175694,85.561497
633.025099,104.278075
634.874505,114.973262
636.723910,141.711230
638.573316,147.058824
640.422721,173.796791
642.272127,171.122995
644.121532,160.427807
645.970938,139.037433
647.820343,109.625668
649.669749,93.582888
651.519155,82.887701
653.368560,77.540107
655.217966,72.192513
657.067371,74.866310
658.916777,74.866310
660.766182,74.866310
662.615588,72.192513
664.464993,77.540107
666.314399,82.887701
668.163804,85.561497
670.013210,109.625668
671.862616,120.320856
673.712021,149.732620
675.561427,179.144385
677.410832,197.860963
679.260238,262.032086
681.109643,307.486631
682.959049,344.919786
684.808454,363.636364
686.657860,360.962567
688.507266,283.422460
690.356671,237.967914
692.206077,203.208556
694.055482,168.449198
695.904888,139.037433
697.754293,117.647059
699.603699,104.278075
701.453104,96.256684
703.302510,88.235294
705.151915,82.887701
707.001321,80.213904
708.850727,77.540107
710.700132,77.540107
712.549538,77.540107
714.398943,74.866310
716.248349,74.866310
718.097754,72.192513
719.947160,72.192513
721.796565,72.192513
723.645971,72.192513
725.495376,72.192513
727.344782,74.866310
729.194188,74.866310
731.043593,77.540107
732.892999,77.540107
734.742404,77.540107
736.591810,82.887701
738.441215,82.887701
740.290621,82.887701
742.140026,82.887701
