frame,time_ns,E_complex_kcal,E_receptor_kcal,E_ligand_kcal,dG_kcal
49,0.5,-6855.06,-6769.79,-45.45,-39.82
54,0.55,-6854.27,-6780.99,-35.38,-37.9
59,0.6,-6889.26,-6799.73,-45.98,-43.55
64,0.65,-6863.85,-6791.98,-37.45,-34.42
69,0.7,-6846.89,-6758.82,-51.77,-36.3
74,0.75,-6826.74,-6740.74,-49.27,-36.73
79,0.8,-6884.44,-6789.1,-46.39,-48.95
84,0.85,-6915.74,-6830.15,-38.98,-46.61
89,0.9,-6774.21,-6683.61,-41.2,-49.4
94,0.95,-6796.46,-6700.46,-48.26,-47.74
99,1.0,-6772.69,-6678.75,-46.41,-47.53
104,1.05,-6785.56,-6687.64,-49.61,-48.31
109,1.1,-6857.84,-6759.63,-50.4,-47.81
114,1.15,-6886.17,-6780.58,-54.35,-51.24
119,1.2,-6873.5,-6785.94,-48.97,-38.59
124,1.25,-6761.36,-6666.63,-47.06,-47.67
129,1.3,-6882.25,-6782.11,-51.93,-48.2
134,1.35,-6835.49,-6731.02,-55.75,-48.73
139,1.4,-6955.57,-6864.77,-43.77,-47.03
144,1.45,-6797.45,-6698.2,-53.05,-46.19
149,1.5,-6809.0,-6711.94,-44.21,-52.84
154,1.55,-6801.77,-6708.84,-44.54,-48.4
159,1.6,-6917.5,-6814.3,-49.98,-53.22
164,1.65,-6900.77,-6811.03,-38.57,-51.17
169,1.7,-6865.71,-6769.15,-43.61,-52.96
174,1.75,-6832.21,-6734.75,-44.95,-52.51
179,1.8,-6864.84,-6772.68,-47.84,-44.32
184,1.85,-6757.35,-6672.05,-38.44,-46.86
189,1.9,-6887.77,-6795.31,-51.82,-40.64
194,1.95,-6842.02,-6752.09,-44.59,-45.35
199,2.0,-6887.97,-6790.62,-55.54,-41.81
